editorial_rank,editorial_tier,repo_id,repo_name,html_url,description,landscape_section,agent_consumability,editorial_reason,awesome_value_score,evidence_grade,stars_current,watch_events_visible_3m,participants_3m,activity_months,openrank_202605,openrank_202606,openrank_3m,pushed_at,created_at,language,license,github_snapshot_date,stage,stage_order,openrank_202607
25,benchmark,21737465,sindresorhus/awesome,https://github.com/sindresorhus/awesome,😎 Awesome lists about all kinds of interesting topics,Historical comparators,indirect,The canonical meta-list anchors the earlier human-curated awesome form and helps show what has changed.,61.26,B,491957,1750,35,3,8.81,5.03,13.84,2026-06-30T18:21:16Z,2014-07-11,,CC0-1.0,2026-08-01,discover,1,0
26,benchmark,655459367,e2b-dev/awesome-ai-agents,https://github.com/e2b-dev/awesome-ai-agents,A list of AI autonomous agents,Historical comparators,indirect,A useful older-style directory of autonomous-agent projects against which skill-native repositories can be compared.,60.0,B,29241,86,29,3,3.98,3.19,9.13,2026-07-09T17:41:48Z,2023-06-19,,NOASSERTION,2026-08-01,discover,2,1.96
19,watch,793375104,Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,"100+ AI Agents, Agent Skills and RAG Apps - Free and Open Source.",Agent project examples,hybrid,"Large example collection connecting agents, skills, and RAG apps; valuable for patterns, though less focused on reusable operating practice.",71.49,B,130141,666,13,3,4.18,3.11,10.65,2026-08-03T03:30:58Z,2024-04-29,Python,Apache-2.0,2026-08-01,discover,3,3.36
4,core,969302809,hesreallyhim/awesome-claude-code,https://github.com/hesreallyhim/awesome-claude-code,"A hand-picked collection of the finest of resources for the most awesome of agents, Claude Code, the undisputed champion of coding companions, from the unstoppable team at Anthropic PBC. A delectable showcase of top tier skills, ambidextrous agents, scintillating status lines, top notch developer tooling, and also we have plugins",Curated coding-agent ecosystems,hybrid,Broad Claude Code ecosystem map with sustained collaboration across all three observed months.,79.41,B,51580,433,44,3,4.92,4.32,12.03,2026-08-03T15:53:30Z,2025-04-19,Python,NOASSERTION,2026-08-01,discover,4,2.79
12,core,896335270,punkpeye/awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,A collection of MCP servers.,Tool and protocol catalogs,hybrid,The strongest collaboration signal in the classic-awesome group and a practical map of agent tool access.,69.14,B,91771,283,373,4,87.14,70.0,202.63,2026-08-03T03:09:55Z,2024-11-30,,MIT,2026-08-01,discover,5,45.49
6,core,1000362065,github/awesome-copilot,https://github.com/github/awesome-copilot,"Community-contributed instructions, agents, skills, and configurations to help you make the most of GitHub Copilot.",Curated coding-agent ecosystems,direct,"Instructions, agents, skills, and configurations are already packaged in the forms a coding agent can consume.",78.08,B,37391,297,57,3,15.67,12.42,38.06,2026-08-01T21:03:47Z,2025-06-11,Python,MIT,2026-08-01,reuse,1,9.97
2,core,1078079172,ComposioHQ/awesome-claude-skills,https://github.com/ComposioHQ/awesome-claude-skills,"A curated list of awesome Claude Skills, resources, and tools for customizing Claude AI workflows",Curated coding-agent ecosystems,direct,A fast-growing skills-focused list that is narrower and more executable than a general tools directory.,81.47,B,71670,700,40,3,5.27,4.38,12.48,2026-07-24T07:48:01Z,2025-10-17,Python,NOASSERTION,2026-08-01,reuse,2,2.83
8,core,1132750706,composio-community/awesome-codex-skills,https://github.com/composio-community/awesome-codex-skills,A curated list of practical Codex skills for automating workflows across the Codex CLI and API.,Curated coding-agent ecosystems,direct,Codex-specific workflow skills are an early but strong example of an awesome list becoming an agent input.,75.19,B,15572,832,10,3,3.23,1.13,4.36,2026-07-26T01:14:54Z,2026-01-12,Python,NOASSERTION,2026-08-01,reuse,3,0
14,core,1084853233,VoltAgent/awesome-agent-skills,https://github.com/VoltAgent/awesome-agent-skills,"A curated collection of 1000+ agent skills from official dev teams and the community, compatible with Claude Code, Codex, Gemini CLI, Cursor, and more.",Cross-agent skill catalogs,direct,"Cross-harness catalog covering Claude Code, Codex, Gemini CLI, Cursor, and other agents.",65.24,B,29478,517,21,3,7.36,6.11,16.01,2026-07-31T12:33:46Z,2025-10-28,,MIT,2026-08-01,reuse,4,2.54
13,core,1197515131,VoltAgent/awesome-design-md,https://github.com/VoltAgent/awesome-design-md,A collection of DESIGN.md files analysis by popular brand design systems. Drop one into your project and let coding agents generate a matching UI.,Domain playbooks as code,direct,A concrete example of curated design-system knowledge becoming a drop-in DESIGN.md for coding agents.,65.65,B,106257,2190,5,1,4.69,0,4.69,2026-07-31T12:32:42Z,2026-03-31,,MIT,2026-08-01,reuse,5,0
23,watch,1220744720,freestylefly/awesome-gpt-image-2,https://github.com/freestylefly/awesome-gpt-image-2,Prompt as Code | GPT-Image2 工业级提示词引擎与模板库，470+ 个案例逆向工程，20+ 套工业级模板，并提炼出Skills，持续更新中,Domain playbooks as code,direct,Prompt-as-code image templates distilled into skills; a clean bridge from the older prompt-gallery form to executable agent assets.,59.92,B,9052,558,3,2,0.31,0.26,0.57,2026-07-22T16:57:36Z,2026-04-25,JavaScript,MIT,2026-08-01,reuse,6,0
24,watch,980205160,enescingoz/awesome-n8n-templates,https://github.com/enescingoz/awesome-n8n-templates,"280+ free n8n automation templates — ready-to-use workflows for Gmail, Telegram, Slack, Discord, WhatsApp, Google Drive, Notion, OpenAI, and more. AI agents, RAG   chatbots, email automation, social media, DevOps, and document processing. The largest open-source n8n template collection.",Domain playbooks as code,hybrid,Ready-to-use automation templates show how an awesome list can move from reference links toward runnable workflows.,59.89,B,24394,145,4,2,0.55,0.62,1.17,2026-07-23T21:04:30Z,2025-05-08,,NOASSERTION,2026-08-01,reuse,7,0
11,core,1061953414,anthropics/skills,https://github.com/anthropics/skills,Public repository for Agent Skills,Native skill catalogs,direct,Official public Agent Skills repository; useful as a canonical reference for the skill-native successor to awesome lists.,71.12,B,165995,2149,39,3,9.92,5.13,15.05,2026-07-24T20:12:36Z,2025-09-22,Python,NOASSERTION,2026-08-01,install,1,0
10,core,1103643573,openai/skills,https://github.com/openai/skills,Skills Catalog for Codex,Native skill catalogs,direct,Codex Skills catalog with unusually broad three-month participant activity for this repository form.,71.82,B,24463,377,105,3,29.11,23.9,53.01,2026-07-14T16:47:46Z,2025-11-25,Python,NOASSERTION,2026-08-01,install,2,0
7,core,1134543109,vercel-labs/skills,https://github.com/vercel-labs/skills,The open agent skills tool - npx skills,Native skill catalogs,direct,"Combines a skill catalog with an installation tool, turning discovery into a machine-actionable workflow.",76.77,B,27916,498,51,3,16.8,11.47,33.34,2026-07-31T06:43:56Z,2026-01-14,TypeScript,MIT,2026-08-01,install,3,5.07
3,core,1158722119,addyosmani/agent-skills,https://github.com/addyosmani/agent-skills,Production-grade engineering skills for AI coding agents.,Native skill catalogs,direct,Production-oriented engineering skills with one of the strongest visible growth signals in the skill-native group.,81.16,B,81427,2761,27,3,4.88,5.79,16.17,2026-07-26T12:51:12Z,2026-02-15,JavaScript,MIT,2026-08-01,install,4,5.5
22,watch,1197652028,google/skills,https://github.com/google/skills,Agent Skills for Google products and technologies,Native skill catalogs,direct,"Official product skills with strong visible star momentum, though current contributor breadth is still narrow.",69.0,B,15409,621,6,2,1.46,0,1.46,2026-08-03T15:48:24Z,2026-03-31,Python,Apache-2.0,2026-08-01,install,5,0
21,watch,1100776768,anthropics/claude-plugins-official,https://github.com/anthropics/claude-plugins-official,"Official, Anthropic-managed directory of high quality Claude Code Plugins.",Native skill catalogs,direct,A curated official plugin directory with strong collaboration; useful for testing whether plugins and skills converge.,69.32,B,33002,1153,65,3,24.62,12.37,44.87,2026-08-03T12:51:01Z,2025-11-20,Python,Apache-2.0,2026-08-01,install,6,7.88
18,watch,1025856648,wshobson/agents,https://github.com/wshobson/agents,"Multi-harness agentic plugin marketplace for Claude Code, Codex CLI, Cursor, OpenCode, GitHub Copilot, and Gemini CLI",Cross-agent skill catalogs,direct,"A multi-harness plugin marketplace spanning Claude Code, Codex, Cursor, OpenCode, Copilot, and Gemini CLI.",71.9,B,38449,209,11,3,1.68,2.87,4.55,2026-07-22T15:32:23Z,2025-07-24,Python,MIT,2026-08-01,install,7,0
1,core,1136590548,affaan-m/ECC,https://github.com/affaan-m/ECC,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.",Agent operating practice,direct,"Packages coding-agent practice as a working harness with skills, memory, security, and research conventions.",86.12,B,237251,3928,77,3,25.38,20.77,60.86,2026-08-03T04:55:19Z,2026-01-18,JavaScript,MIT,2026-08-01,operate,1,14.71
5,core,1073224795,obra/superpowers,https://github.com/obra/superpowers,An agentic skills framework & software development methodology that works.,Agent operating practice,direct,A software-development methodology distributed as an agent skills framework; it directly tests the code-is-cheap hypothesis.,79.12,B,265573,4692,60,3,21.43,12.9,39.45,2026-08-03T16:03:46Z,2025-10-09,Shell,MIT,2026-08-01,operate,2,5.12
