repo_id,repo_name,description,stars,forks,open_issues,license,archived,pushed_at,openrank_2607,openrank_trend_2508_2607,participants_2607,language,created_at,topics,landscape_action,landscape_layer,landscape_section,selection_reason,selection_caveat,github_status,trend_signal,trend_signal_reason
1103012935,openclaw/openclaw,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,385041,80928,5460,NOASSERTION,false,2026-08-03T16:27:45Z,462.71,"[null,null,null,0.92,10.91,497.55,1693.69,1871.65,1499.86,880.67,592.19,462.71]",281,TypeScript,2025-11-24,"ai,assistant,crustacean,molty,openclaw,own-your-data,personal",keep,Agent Infra,Personal AI assistants,"当前图中的 Personal AI assistants 代表项目；仓库仍在维护，385,041 stars，2026 年 7 月 OpenRank 462.71。",产品边界普遍较宽，只在这一分区出现，避免与 chatbot 和 framework 重复。,ok,,
626805178,langgenius/dify,"Build Agentic workflows, RAG pipelines, with rich AI model and tool support on one collaborative workspace. Deploy on cloud, VPC, or self-hosted, so teams move from prototype to production without rebuilding the stack.",151207,23866,926,NOASSERTION,false,2026-08-03T16:29:14Z,53.65,"[387.79,385.95,326.28,286.14,287.31,266.36,217.58,197.49,145.19,104.87,77.64,53.65]",39,TypeScript,2023-04-12,"agent,agentic-ai,agentic-framework,agentic-workflow,ai,automation,claude,genai,gpt,llm,low-code,mcp,nextjs,no-code,openai,orchestration,python,rag,skills,workflow",keep,Agent Infra,Workflow & agent builders,"当前图中的 Workflow & agent builders 代表项目；仓库仍在维护，151,207 stars，2026 年 7 月 OpenRank 53.65。",与通用低代码平台有交叉，主图只保留明确支持 agent workflow 的项目。,ok,,
975734319,anomalyco/opencode,The open source coding agent.,192789,24627,4879,MIT,false,2026-08-03T16:25:25Z,157.72,"[283.25,257.3,263.91,315.9,377.89,729.96,681.2,553.3,468.82,386.73,248.46,157.72]",97,TypeScript,2025-04-30,,keep,Agent Infra,Agentic coding,"当前图中的 Agentic coding 代表项目；仓库仍在维护，192,789 stars，2026 年 7 月 OpenRank 157.72。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。,ok,,
965415649,openai/codex,Lightweight coding agent that runs in your terminal,103597,15642,11823,Apache-2.0,false,2026-08-03T16:29:46Z,175.4,"[251.55,423.95,391.38,407.9,373.89,365.47,468.81,479.16,469.03,457.04,334.43,175.4]",122,Rust,2025-04-13,,keep,Agent Infra,Agentic coding,"当前图中的 Agentic coding 代表项目；仓库仍在维护，103,597 stars，2026 年 7 月 OpenRank 175.40。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。,ok,,
968197216,google-gemini/gemini-cli,An open-source AI agent that brings the power of Gemini directly into your terminal.,106331,14374,1014,Apache-2.0,false,2026-08-03T01:34:43Z,35.41,"[542.58,498.43,444.22,421.48,370.75,371.57,385.74,428.49,344.39,232.46,84.58,35.41]",11,TypeScript,2025-04-17,"ai,ai-agents,cli,gemini,gemini-api,mcp-client,mcp-server",keep,Agent Infra,Agentic coding,"当前图中的 Agentic coding 代表项目；仓库仍在维护，106,331 stars，2026 年 7 月 OpenRank 35.41。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。,ok,,
193215554,n8n-io/n8n,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",199182,59878,1396,NOASSERTION,false,2026-08-03T16:30:51Z,82.05,"[328.31,329.51,306.99,299.67,295.84,285.89,254.98,229.22,209.75,190.55,131.52,82.05]",51,TypeScript,2019-06-22,"ai,apis,automation,cli,data-flow,development,integration-framework,integrations,ipaas,low-code,low-code-platform,mcp,mcp-client,mcp-server,n8n,no-code,self-hosted,typescript,workflow,workflow-automation",keep,Agent Infra,Workflow & agent builders,"当前图中的 Workflow & agent builders 代表项目；仓库仍在维护，199,182 stars，2026 年 7 月 OpenRank 82.05。",与通用低代码平台有交叉，主图只保留明确支持 agent workflow 的项目。,ok,,
671269505,BerriAI/litellm,"The fastest, litest AI Gateway. Rust core with Python SDK. Call 100+ LLM APIs in OpenAI (or native) format with cost tracking, guardrails, load balancing, and logging [Bedrock, Azure, OpenAI, Anthropic, OpenAI, VertexAI, vLLM, Nvidia NIM]",55439,10290,4734,NOASSERTION,false,2026-08-03T16:12:30Z,92.22,"[321.12,312.79,288.67,257.21,255.62,259.11,277.86,244.03,183.69,141.15,111.17,92.22]",121,Python,2023-07-27,"ai-gateway,anthropic,azure-openai,bedrock,gateway,langchain,litellm,llm,llm-gateway,llmops,mcp-gateway,openai,openai-proxy,rust,rust-ai,vertex-ai",keep,Model Infra,Model API gateways,"当前图中的 Model API gateways 代表项目；仓库仍在维护，55,439 stars，2026 年 7 月 OpenRank 92.22。",需要区分 model API、MCP gateway 和 agentic proxy，避免把所有代理工具放在一起。,ok,,
1061953414,anthropics/skills,Public repository for Agent Skills,165998,19750,1058,NOASSERTION,false,2026-07-24T20:12:36Z,,"[null,null,6.01,7.29,8.21,13.65,15.76,14.27,16.12,9.92,5.13,null]",6,Python,2025-09-22,agent-skills,keep,Agent Infra,Protocols & interoperability,"当前图中的 Protocols & interoperability 代表项目；仓库仍在维护，165,998 stars。",协议成熟度差异较大，preview 或规范状态需要在图上明确。,ok,,
890668799,modelcontextprotocol/servers,Model Context Protocol Servers,89158,11366,483,NOASSERTION,false,2026-08-03T02:57:08Z,8.13,"[66.04,48.42,34.35,30.6,19.34,16.12,14.73,17.78,19.79,13.22,8.62,8.13]",15,TypeScript,2024-11-19,,keep,Agent Infra,Protocols & interoperability,"当前图中的 Protocols & interoperability 代表项目；仓库仍在维护，89,158 stars，2026 年 7 月 OpenRank 8.13。",协议成熟度差异较大，preview 或规范状态需要在图上明确。,ok,,
881458615,browser-use/browser-use,🌐 Make websites accessible for AI agents. Automate tasks online with ease.,107713,11836,339,MIT,false,2026-08-03T03:07:35Z,5.4,"[98.41,94.44,70.85,61.76,53.3,42.84,37.69,31.22,20.23,15.16,12.74,5.4]",15,Python,2024-10-31,"ai-agents,ai-tools,browser-automation,browser-use,llm,playwright,python",keep,Agent Infra,Tool & browser use,"当前图中的 Tool & browser use 代表项目；仓库仍在维护，107,713 stars，2026 年 7 月 OpenRank 5.40。",browser/computer-use 项目迭代很快，需要按可复现能力和维护状态复核。,ok,,
