repo_name,landscape_action,landscape_layer,landscape_section,openrank_2607,stars,license,description,selection_reason,selection_caveat
openclaw/openclaw,keep,Agent Infra,Personal AI assistants,462.71,385041,NOASSERTION,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞,"当前图中的 Personal AI assistants 代表项目；仓库仍在维护，385,041 stars，2026 年 7 月 OpenRank 462.71。",产品边界普遍较宽，只在这一分区出现，避免与 chatbot 和 framework 重复。
langgenius/dify,keep,Agent Infra,Workflow & agent builders,53.65,151207,NOASSERTION,"Build Agentic workflows, RAG pipelines, with rich AI model and tool support on one collaborative workspace. Deploy on cloud, VPC, or self-hosted, so teams move from prototype to production without rebuilding the stack.","当前图中的 Workflow & agent builders 代表项目；仓库仍在维护，151,207 stars，2026 年 7 月 OpenRank 53.65。",与通用低代码平台有交叉，主图只保留明确支持 agent workflow 的项目。
anomalyco/opencode,keep,Agent Infra,Agentic coding,157.72,192789,MIT,The open source coding agent.,"当前图中的 Agentic coding 代表项目；仓库仍在维护，192,789 stars，2026 年 7 月 OpenRank 157.72。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。
openai/codex,keep,Agent Infra,Agentic coding,175.4,103597,Apache-2.0,Lightweight coding agent that runs in your terminal,"当前图中的 Agentic coding 代表项目；仓库仍在维护，103,597 stars，2026 年 7 月 OpenRank 175.40。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。
google-gemini/gemini-cli,keep,Agent Infra,Agentic coding,35.41,106331,Apache-2.0,An open-source AI agent that brings the power of Gemini directly into your terminal.,"当前图中的 Agentic coding 代表项目；仓库仍在维护，106,331 stars，2026 年 7 月 OpenRank 35.41。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。
n8n-io/n8n,keep,Agent Infra,Workflow & agent builders,82.05,199182,NOASSERTION,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.","当前图中的 Workflow & agent builders 代表项目；仓库仍在维护，199,182 stars，2026 年 7 月 OpenRank 82.05。",与通用低代码平台有交叉，主图只保留明确支持 agent workflow 的项目。
anthropics/skills,keep,Agent Infra,Protocols & interoperability,,165998,NOASSERTION,Public repository for Agent Skills,"当前图中的 Protocols & interoperability 代表项目；仓库仍在维护，165,998 stars。",协议成熟度差异较大，preview 或规范状态需要在图上明确。
modelcontextprotocol/servers,keep,Agent Infra,Protocols & interoperability,8.13,89158,NOASSERTION,Model Context Protocol Servers,"当前图中的 Protocols & interoperability 代表项目；仓库仍在维护，89,158 stars，2026 年 7 月 OpenRank 8.13。",协议成熟度差异较大，preview 或规范状态需要在图上明确。
browser-use/browser-use,keep,Agent Infra,Tool & browser use,5.4,107713,MIT,🌐 Make websites accessible for AI agents. Automate tasks online with ease.,"当前图中的 Tool & browser use 代表项目；仓库仍在维护，107,713 stars，2026 年 7 月 OpenRank 5.40。",browser/computer-use 项目迭代很快，需要按可复现能力和维护状态复核。
cline/cline,keep,Agent Infra,Agentic coding,36.82,65558,Apache-2.0,"Autonomous coding agent as an SDK, IDE extension, or CLI assistant.","当前图中的 Agentic coding 代表项目；仓库仍在维护，65,558 stars，2026 年 7 月 OpenRank 36.82。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。
aaif-goose/goose,keep,Agent Infra,Agentic coding,21.73,52171,Apache-2.0,"an open source, extensible AI agent that goes beyond code suggestions - install, execute, edit, and test with any LLM","当前图中的 Agentic coding 代表项目；仓库仍在维护，52,171 stars，2026 年 7 月 OpenRank 21.73。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。
anthropics/claude-code,keep,Agent Infra,Agentic coding,143.36,140111,NOASSERTION,"Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands.","当前图中的 Agentic coding 代表项目；仓库仍在维护，140,111 stars，2026 年 7 月 OpenRank 143.36。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。
open-webui/open-webui,keep,Agent Infra,Chatbot workspaces,21.58,147720,NOASSERTION,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)","当前图中的 Chatbot workspaces 代表项目；仓库仍在维护，147,720 stars，2026 年 7 月 OpenRank 21.58。",该区维持三个成熟代表，避免把普通聊天客户端扩张成主图主体。
lobehub/lobehub,keep,Agent Infra,Personal AI assistants,38.07,81180,NOASSERTION,"🤯 LobeHub is your Chief Agent Operator, organizing your agents into 7×24 operations by hiring, scheduling, and reporting on your entire AI team.",80k+ stars、最近可用 OpenRank 仍在 60 左右，已经成为个人 agent 工作空间和长期运行入口的代表项目。,产品同时覆盖聊天、知识库和多 agent 管理；主图只放在 Personal AI assistants，避免重复出现在 framework 或 chatbot。
infiniflow/ragflow,keep,Agent Infra,"Memory, knowledge & context",33.94,86726,Apache-2.0,RAGFlow is a leading open-source Retrieval-Augmented Generation (RAG) engine that fuses cutting-edge RAG with Agent capabilities to create a superior context layer for LLMs,"当前图中的 Memory, knowledge & context 代表项目；仓库仍在维护，86,726 stars，2026 年 7 月 OpenRank 33.94。",数据库、RAG 和 memory 边界容易混淆，图中要标清每个项目承担的层次。
OpenHands/OpenHands,keep,Agent Infra,Agentic coding,11.89,82991,MIT,🙌 OpenHands: AI-Driven Development,"当前图中的 Agentic coding 代表项目；仓库仍在维护，82,991 stars，2026 年 7 月 OpenRank 11.89。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。
langflow-ai/langflow,keep,Agent Infra,Workflow & agent builders,26.11,152801,MIT,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,"当前图中的 Workflow & agent builders 代表项目；仓库仍在维护，152,801 stars，2026 年 7 月 OpenRank 26.11。",与通用低代码平台有交叉，主图只保留明确支持 agent workflow 的项目。
vercel/ai,keep,Agent Infra,Code-first frameworks,56.02,25986,NOASSERTION,"The AI Toolkit for TypeScript. From the creators of Next.js, the AI SDK is a free open-source library for building AI-powered applications and agents","当前图中的 Code-first frameworks 代表项目；仓库仍在维护，25,986 stars，2026 年 7 月 OpenRank 56.02。",该区按语言和 runtime 多样性取样，不追求把所有 framework 都放进来。
AstrBotDevs/AstrBot,keep,Agent Infra,Personal AI assistants,36.97,38519,AGPL-3.0,"AI Agent Assistant & development framework that integrates lots of IM platforms, LLMs, plugins and AI feature, and can be your openclaw alternative. ✨","当前图中的 Personal AI assistants 代表项目；仓库仍在维护，38,519 stars，2026 年 7 月 OpenRank 36.97。",产品边界普遍较宽，只在这一分区出现，避免与 chatbot 和 framework 重复。
pydantic/pydantic-ai,keep,Agent Infra,Code-first frameworks,35.72,19028,MIT,"AI Agent Framework, the Pydantic way","当前图中的 Code-first frameworks 代表项目；仓库仍在维护，19,028 stars，2026 年 7 月 OpenRank 35.72。",该区按语言和 runtime 多样性取样，不追求把所有 framework 都放进来。
mem0ai/mem0,keep,Agent Infra,"Memory, knowledge & context",12.93,62405,Apache-2.0,Universal memory layer for AI Agents,"当前图中的 Memory, knowledge & context 代表项目；仓库仍在维护，62,405 stars，2026 年 7 月 OpenRank 12.93。",数据库、RAG 和 memory 边界容易混淆，图中要标清每个项目承担的层次。
coder/coder,keep,Agent Infra,Development sandboxes,62.06,14017,AGPL-3.0,Secure environments for developers and their agents,"当前图中的 Development sandboxes 代表项目；仓库仍在维护，14,017 stars，2026 年 7 月 OpenRank 62.06。",编排层和隔离 runtime 不是一回事，主图说明中要保留这一区别。
Kilo-Org/kilocode,keep,Agent Infra,Agentic coding,33.37,26688,MIT,"Kilo is the all-in-one agentic engineering platform. Build, ship, and iterate faster with the most popular open source coding agent.","当前图中的 Agentic coding 代表项目；仓库仍在维护，26,688 stars，2026 年 7 月 OpenRank 33.37。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。
activepieces/activepieces,keep,Agent Infra,Workflow & agent builders,32.54,23561,NOASSERTION,AI Agents & MCPs & AI Workflow Automation • (~400 MCP servers for AI agents) • AI Automation / AI Agent with MCPs • AI Workflows & AI Agents • MCPs for AI Agents,"当前图中的 Workflow & agent builders 代表项目；仓库仍在维护，23,561 stars，2026 年 7 月 OpenRank 32.54。",与通用低代码平台有交叉，主图只保留明确支持 agent workflow 的项目。
livekit/agents,keep,Agent Infra,Code-first frameworks,21.41,11855,Apache-2.0,A framework for building realtime voice AI agents 🤖🎙️📹,"当前图中的 Code-first frameworks 代表项目；仓库仍在维护，11,855 stars，2026 年 7 月 OpenRank 21.41。",该区按语言和 runtime 多样性取样，不追求把所有 framework 都放进来。
google/adk-python,keep,Agent Infra,Code-first frameworks,11.68,20987,Apache-2.0,"An open-source, code-first Python toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control.","当前图中的 Code-first frameworks 代表项目；仓库仍在维护，20,987 stars，2026 年 7 月 OpenRank 11.68。",该区按语言和 runtime 多样性取样，不追求把所有 framework 都放进来。
langchain-ai/langchain,keep,Agent Infra,Code-first frameworks,27.87,143333,MIT,The agent engineering platform.,"当前图中的 Code-first frameworks 代表项目；仓库仍在维护，143,333 stars，2026 年 7 月 OpenRank 27.87。",该区按语言和 runtime 多样性取样，不追求把所有 framework 都放进来。
