usage_composite_rank,model_name,vendor,landscape_domain,weight_access_status,license,license_display_name,license_display_class,license_url,license_note,parameter_count_b,usage_composite_score,aai_score,primary_category,capability_tags
1,GLM 5.2,Z.ai,"Reasoning, Math & Science",Open weights,mit,MIT License,OSI-approved software license,https://huggingface.co/zai-org/GLM-5.2,The public weights use an OSI-approved software license.,753.33,98.1707,51.1,Reasoning,text_input|text_output|reasoning|tool_use|structured_output|agentic
2,DeepSeek V4 Pro,DeepSeek,"Reasoning, Math & Science",Open weights,mit,MIT License,OSI-approved software license,https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro,The public weights use an OSI-approved software license.,1598.84,96.561,,Reasoning,text_input|text_output|reasoning|tool_use|structured_output|coding
3,DeepSeek V4 Flash,DeepSeek,"Reasoning, Math & Science",Open weights,mit,MIT License,OSI-approved software license,https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash,The public weights use an OSI-approved software license.,290.945,95.3903,,Reasoning,text_input|text_output|reasoning|tool_use|structured_output
4,Claude Opus 4.8,Anthropic,Frontier Generalist,Closed or no public weights,,API-only,No public weights resolved,,,,94.3415,,Multimodal / VLM,text_input|image_input|file_input|text_output|reasoning|tool_use|structured_output
5,Claude Sonnet 5,Anthropic,Coding & Agentic,Closed or no public weights,,API-only,No public weights resolved,,,,90.9025,53.4,Multimodal / VLM,text_input|image_input|file_input|text_output|reasoning|tool_use|structured_output|coding|agentic
6,Step 3.7 Flash,StepFun,Multimodal & Realtime,Open weights,apache-2.0,Apache License 2.0,OSI-approved software license,https://huggingface.co/stepfun-ai/Step-3.7-Flash,The public weights use an OSI-approved software license.,201.365,90.1219,,Multimodal / VLM,text_input|image_input|video_input|text_output|reasoning|tool_use|structured_output|coding
7,Claude Sonnet 4.6,Anthropic,Coding & Agentic,Closed or no public weights,,API-only,No public weights resolved,,,,86.5122,,Multimodal / VLM,text_input|image_input|file_input|text_output|reasoning|tool_use|structured_output|coding|agentic
8,GPT-5.5,OpenAI,Frontier Generalist,Closed or no public weights,,API-only,No public weights resolved,,,,83.683,,Multimodal / VLM,file_input|image_input|text_input|text_output|reasoning|tool_use|structured_output
9,Claude Opus 4.7,Anthropic,Frontier Generalist,Closed or no public weights,,API-only,No public weights resolved,,,,81.7317,,Multimodal / VLM,text_input|image_input|file_input|text_output|reasoning|tool_use|structured_output|coding|agentic
10,Gemini 2.5 Flash Lite,Google,"Efficient, Edge & Specialized",Closed or no public weights,,API-only,No public weights resolved,,,,79.0731,,Multimodal / VLM,text_input|image_input|file_input|audio_input|video_input|text_output|reasoning|tool_use|structured_output
11,Kimi K3,MoonshotAI,Coding & Agentic,Open weights,other,Kimi K3 License,Custom model license,https://huggingface.co/moonshotai/Kimi-K3/blob/main/LICENSE,Commercial Model-as-a-Service use has a separate-agreement threshold; branding terms also apply at defined scale thresholds.,2779.932,78.2439,57.1,Multimodal / VLM,text_input|image_input|text_output|reasoning|tool_use|structured_output|coding|agentic
12,Claude Fable 5,Anthropic,Frontier Generalist,Closed or no public weights,,API-only,No public weights resolved,,,,78.1463,59.9,Multimodal / VLM,text_input|image_input|file_input|text_output|reasoning|tool_use|structured_output|coding
13,GPT-5.6 Sol,OpenAI,Coding & Agentic,Closed or no public weights,,API-only,No public weights resolved,,,,76.5366,58.9,Multimodal / VLM,file_input|image_input|text_input|text_output|reasoning|tool_use|structured_output|coding|agentic
14,Hy3,Tencent,"Reasoning, Math & Science",Open weights,apache-2.0,Apache License 2.0,OSI-approved software license,https://huggingface.co/tencent/Hy3,The public weights use an OSI-approved software license.,298.786,69.9512,,Reasoning,text_input|text_output|reasoning|tool_use|structured_output|agentic
15,MiniMax M3,MiniMax,Multimodal & Realtime,Open weights,other,MiniMax Community License,Custom community license,https://huggingface.co/MiniMaxAI/MiniMax-M3/blob/main/LICENSE,Commercial use carries branding and notice terms; prior authorization is required above the stated revenue threshold.,427.04,69.7805,,Multimodal / VLM,text_input|image_input|video_input|text_output|reasoning|tool_use|structured_output|coding|agentic
16,Gemini 3.1 Flash Lite,Google,"Efficient, Edge & Specialized",Closed or no public weights,,API-only,No public weights resolved,,,,66.6342,,Multimodal / VLM,text_input|image_input|video_input|file_input|audio_input|text_output|reasoning|tool_use|structured_output|agentic
17,DeepSeek V3.2,DeepSeek,"Reasoning, Math & Science",Open weights,mit,MIT License,OSI-approved software license,https://huggingface.co/deepseek-ai/DeepSeek-V3.2,The public weights use an OSI-approved software license.,685.397,66.1951,,Reasoning,text_input|text_output|reasoning|tool_use|structured_output|agentic
18,Claude Opus 4.6,Anthropic,Frontier Generalist,Closed or no public weights,,API-only,No public weights resolved,,,,65.8293,,Multimodal / VLM,text_input|image_input|file_input|text_output|reasoning|tool_use|structured_output|coding|agentic
19,GPT-5.6 Luna,OpenAI,Frontier Generalist,Closed or no public weights,,API-only,No public weights resolved,,,,65.7073,51.2,Multimodal / VLM,file_input|image_input|text_input|text_output|reasoning|tool_use|structured_output|agentic
20,GPT-5.4,OpenAI,Frontier Generalist,Closed or no public weights,,API-only,No public weights resolved,,,,65.3658,,Multimodal / VLM,text_input|image_input|file_input|text_output|reasoning|tool_use|structured_output|coding
21,Gemini 3 Flash Preview,Google,Multimodal & Realtime,Closed or no public weights,,API-only,No public weights resolved,,,,62.2927,,Multimodal / VLM,text_input|image_input|file_input|audio_input|video_input|text_output|reasoning|tool_use|structured_output|coding|agentic
22,MiMo-V2.5,Xiaomi,Multimodal & Realtime,Open weights,mit,MIT License,OSI-approved software license,https://huggingface.co/XiaomiMiMo/MiMo-V2.5,The public weights use an OSI-approved software license.,310.775,62.0,,Multimodal / VLM,text_input|audio_input|image_input|video_input|text_output|reasoning|tool_use|structured_output|agentic
23,Claude Opus 5,Anthropic,Frontier Generalist,Closed or no public weights,,API-only,No public weights resolved,,,,60.439,60.7,Multimodal / VLM,text_input|image_input|file_input|text_output|reasoning|tool_use|structured_output|coding|agentic
24,DeepSeek V4 Flash 0731,DeepSeek,"Reasoning, Math & Science",Open weights,mit,MIT License,OSI-approved software license,https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash-0731,The public weights use an OSI-approved software license.,304.18,58.1951,49.9,Reasoning,text_input|text_output|reasoning|tool_use|structured_output|coding|agentic
