repo_name,landscape_action,landscape_layer,landscape_section,openrank_2607,stars,license,description,selection_reason,selection_caveat
BerriAI/litellm,keep,Model Infra,Model API gateways,92.22,55439,NOASSERTION,"The fastest, litest AI Gateway. Rust core with Python SDK. Call 100+ LLM APIs in OpenAI (or native) format with cost tracking, guardrails, load balancing, and logging [Bedrock, Azure, OpenAI, Anthropic, OpenAI, VertexAI, vLLM, Nvidia NIM]","当前图中的 Model API gateways 代表项目；仓库仍在维护，55,439 stars，2026 年 7 月 OpenRank 92.22。",需要区分 model API、MCP gateway 和 agentic proxy，避免把所有代理工具放在一起。
huggingface/lerobot,keep,Model Infra,Pre-Train · Robotics infra,9.76,26351,Apache-2.0,🤗 LeRobot: Making AI for Robotics more accessible with end-to-end learning,"当前图中的 Pre-Train · Robotics infra 代表项目；仓库仍在维护，26,351 stars，2026 年 7 月 OpenRank 9.76。",只放 robotics infra，不把机器人 foundation model 混进来。
OpenMind/OM1,keep,Model Infra,Pre-Train · Robotics infra,,2894,MIT,Modular AI HAL (Hardware Abstraction Layer) for Robots,"当前图中的 Pre-Train · Robotics infra 代表项目；仓库仍在维护，2,894 stars。",只放 robotics infra，不把机器人 foundation model 混进来。
QuantumNous/new-api,keep,Model Infra,Model API gateways,10.99,44200,AGPL-3.0,"A unified AI model hub for aggregation & distribution. It supports cross-converting various LLMs into OpenAI-compatible, Claude-compatible, or Gemini-compatible formats. A centralized gateway for personal and enterprise model management. 🍥","当前图中的 Model API gateways 代表项目；仓库仍在维护，44,200 stars，2026 年 7 月 OpenRank 10.99。",需要区分 model API、MCP gateway 和 agentic proxy，避免把所有代理工具放在一起。
higress-group/higress,keep,Model Infra,Model API gateways,5.32,9016,Apache-2.0,🤖 AI Gateway | AI Native API Gateway,"当前图中的 Model API gateways 代表项目；仓库仍在维护，9,016 stars，2026 年 7 月 OpenRank 5.32。",需要区分 model API、MCP gateway 和 agentic proxy，避免把所有代理工具放在一起。
triton-lang/triton,keep,Model Infra,Pre-Train · Compiler & accelerator,41.95,19844,MIT,Development repository for the Triton language and compiler,"当前图中的 Pre-Train · Compiler & accelerator 代表项目；仓库仍在维护，19,844 stars，2026 年 7 月 OpenRank 41.95。",该区强调编译、kernel 和模型优化的结构覆盖，不追求完整 CUDA 工具清单。
NVIDIA/TransformerEngine,keep,Model Infra,Pre-Train · Compiler & accelerator,17.7,3468,Apache-2.0,"A library for accelerating Transformer models on NVIDIA GPUs, including using 8-bit and 4-bit floating point (FP8 and FP4) precision on Hopper, Ada and Blackwell GPUs, to provide better performance with lower memory utilization in both training and inference.","当前图中的 Pre-Train · Compiler & accelerator 代表项目；仓库仍在维护，3,468 stars，2026 年 7 月 OpenRank 17.70。",该区强调编译、kernel 和模型优化的结构覆盖，不追求完整 CUDA 工具清单。
flashinfer-ai/flashinfer,keep,Model Infra,Pre-Train · Compiler & accelerator,147.83,6090,Apache-2.0,FlashInfer: Kernel Library for LLM Serving,"当前图中的 Pre-Train · Compiler & accelerator 代表项目；仓库仍在维护，6,090 stars，2026 年 7 月 OpenRank 147.83。",该区强调编译、kernel 和模型优化的结构覆盖，不追求完整 CUDA 工具清单。
NVIDIA/cutlass,keep,Model Infra,Pre-Train · Compiler & accelerator,6.04,10184,NOASSERTION,CUDA Templates and Python DSLs for High-Performance Linear Algebra,"当前图中的 Pre-Train · Compiler & accelerator 代表项目；仓库仍在维护，10,184 stars，2026 年 7 月 OpenRank 6.04。",该区强调编译、kernel 和模型优化的结构覆盖，不追求完整 CUDA 工具清单。
deepseek-ai/DeepEP,keep,Model Infra,Pre-Train · Compiler & accelerator,,9934,MIT,DeepEP: an efficient expert-parallel communication library,"当前图中的 Pre-Train · Compiler & accelerator 代表项目；仓库仍在维护，9,934 stars。",该区强调编译、kernel 和模型优化的结构覆盖，不追求完整 CUDA 工具清单。
Dao-AILab/flash-attention,keep,Model Infra,Pre-Train · Compiler & accelerator,5.43,24607,BSD-3-Clause,Fast and memory-efficient exact attention,"当前图中的 Pre-Train · Compiler & accelerator 代表项目；仓库仍在维护，24,607 stars，2026 年 7 月 OpenRank 5.43。",该区强调编译、kernel 和模型优化的结构覆盖，不追求完整 CUDA 工具清单。
docling-project/docling,add,Model Infra,Data · Integration,40.22,64180,MIT,Get your documents ready for gen AI,文档解析和结构化已经成为 RAG 与 agent 数据准备的常见入口，当前 63k+ stars、最近可用 OpenRank 66.74。,它代表文档数据准备，不是通用 ETL；Data · Integration 区控制在三个项目。
apache/iceberg,keep,Model Infra,Data · Governance,34.89,9106,Apache-2.0,Apache Iceberg,"当前图中的 Data · Governance 代表项目；仓库仍在维护，9,106 stars，2026 年 7 月 OpenRank 34.89。",Apache 和开放数据格式是该区重点，当前七个项目已经较为饱满。
open-metadata/OpenMetadata,keep,Model Infra,Data · Governance,47.49,14632,Apache-2.0,"The Open Context Layer for Data and AI ,  OpenMetadata is the open platform for building trusted data context and business semantics for humans, AI assistants, and agents.","当前图中的 Data · Governance 代表项目；仓库仍在维护，14,632 stars，2026 年 7 月 OpenRank 47.49。",Apache 和开放数据格式是该区重点，当前七个项目已经较为饱满。
datahub-project/datahub,keep,Model Infra,Data · Governance,38.95,12436,Apache-2.0,The Context Platform for your Data and AI Stack,"当前图中的 Data · Governance 代表项目；仓库仍在维护，12,436 stars，2026 年 7 月 OpenRank 38.95。",Apache 和开放数据格式是该区重点，当前七个项目已经较为饱满。
apache/gravitino,keep,Model Infra,Data · Governance,22.03,3141,Apache-2.0,"World's most powerful open data catalog for building a high-performance, geo-distributed and federated metadata lake.","当前图中的 Data · Governance 代表项目；仓库仍在维护，3,141 stars，2026 年 7 月 OpenRank 22.03。",Apache 和开放数据格式是该区重点，当前七个项目已经较为饱满。
delta-io/delta,keep,Model Infra,Data · Governance,15.67,8927,Apache-2.0,"An open-source storage framework that enables building a Lakehouse architecture with compute engines including Spark, PrestoDB, Flink, Trino, and Hive and APIs","当前图中的 Data · Governance 代表项目；仓库仍在维护，8,927 stars，2026 年 7 月 OpenRank 15.67。",Apache 和开放数据格式是该区重点，当前七个项目已经较为饱满。
apache/paimon,keep,Model Infra,Data · Governance,16.38,3361,Apache-2.0,Apache Paimon is a lake format that enables building a Realtime Lakehouse Architecture with Flink and Spark for both streaming and batch operations.,"当前图中的 Data · Governance 代表项目；仓库仍在维护，3,361 stars，2026 年 7 月 OpenRank 16.38。",Apache 和开放数据格式是该区重点，当前七个项目已经较为饱满。
apache/hudi,keep,Model Infra,Data · Governance,24.44,6205,Apache-2.0,"Upserts, Deletes And Incremental Processing on Big Data.","当前图中的 Data · Governance 代表项目；仓库仍在维护，6,205 stars，2026 年 7 月 OpenRank 24.44。",Apache 和开放数据格式是该区重点，当前七个项目已经较为饱满。
apache/airflow,keep,Model Infra,Data · Integration,98.32,46361,Apache-2.0,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows","当前图中的 Data · Integration 代表项目；仓库仍在维护，46,361 stars，2026 年 7 月 OpenRank 98.32。",只放与 AI 数据准备直接相关的代表项目，避免扩张成通用数据工程图。
